mes-año;Acum_mensual;Prom_mensual
1/1/1968;0;0
1/2/1968;0;0
1/3/1968;0;0
1/4/1968;0;0
1/5/1968;343,5;11,08064516
1/6/1968;538;17,35483871
1/7/1968;111,5;3,596774194
1/8/1968;137,5;4,435483871
1/9/1968;384,5;12,40322581
1/10/1968;459,5;14,82258065
1/11/1968;81,5;2,629032258
1/12/1968;0;0
1/1/1969;1,5;0,048387097
1/2/1969;0;0
1/3/1969;0;0
1/4/1969;76;2,451612903
1/5/1969;34,5;1,112903226
1/6/1969;264;8,516129032
1/7/1969;-53;-1,709677419
1/8/1969;300;9,677419355
1/9/1969;293,5;9,467741935
1/10/1969;854;27,5483871
1/11/1969;43;1,387096774
1/12/1969;2,5;0,080645161
1/1/1970;19;0,612903226
1/2/1970;0;0
1/3/1970;10,5;0,338709677
1/4/1970;70;2,258064516
1/5/1970;93;3
1/6/1970;231;7,451612903
1/7/1970;230,5;7,435483871
1/8/1970;314;10,12903226
1/9/1970;253,5;8,177419355
1/10/1970;255,5;8,241935484
1/11/1970;205,5;6,629032258
1/12/1970;4;0,129032258
1/1/1971;0;0
1/2/1971;2;0,064516129
1/3/1971;1;0,032258065
1/4/1971;40;1,290322581
1/5/1971;295,5;9,532258065
1/6/1971;201;6,483870968
1/7/1971;54,5;1,758064516
1/8/1971;345;11,12903226
1/9/1971;568;18,32258065
1/10/1971;469;15,12903226
1/11/1971;74,5;2,403225806
1/12/1971;0;0
1/1/1972;50,5;1,629032258
1/2/1972;0;0
1/3/1972;0;0
1/4/1972;0;0
1/5/1972;347;11,19354839
1/6/1972;115,2;3,716129032
1/7/1972;102,2;3,296774194
1/8/1972;149,5;4,822580645
1/9/1972;212;6,838709677
1/10/1972;180;5,806451613
1/11/1972;104,5;3,370967742
1/12/1972;14;0,451612903
1/1/1973;0;0
1/2/1973;0;0
1/3/1973;14;0,451612903
1/4/1973;24;0,774193548
1/5/1973;249,3;8,041935484
1/6/1973;298,7;9,635483871
1/7/1973;299,7;9,667741935
1/8/1973;542,5;17,5
1/9/1973;415,8;13,41290323
1/10/1973;669,2;21,58709677
1/11/1973;33,5;1,080645161
1/12/1973;0;0
1/1/1974;0,3;0,009677419
1/2/1974;0;0
1/3/1974;2,3;0,074193548
1/4/1974;3,4;0,109677419
1/5/1974;267,2;8,619354839
1/6/1974;314,1;10,13225806
1/7/1974;123;3,967741935
1/8/1974;297,3;9,590322581
1/9/1974;601,9;19,41612903
1/10/1974;221,9;7,158064516
1/11/1974;12,5;0,403225806
1/12/1974;0;0
1/1/1975;0;0
1/2/1975;0;0
1/3/1975;0;0
1/4/1975;0;0
1/5/1975;104,2;3,361290323
1/6/1975;162;5,225806452
1/7/1975;166;5,35483871
1/8/1975;216;6,967741935
1/9/1975;464,4;14,98064516
1/10/1975;265,4;8,561290323
1/11/1975;601,5;19,40322581
1/12/1975;0;0
1/1/1976;0;0
1/2/1976;0;0
1/3/1976;0;0
1/4/1976;5,5;0,177419355
1/5/1976;181,5;5,85483871
1/6/1976;327,5;10,56451613
1/7/1976;138,5;4,467741935
1/8/1976;92;2,967741935
1/9/1976;92;2,967741935
1/10/1976;274,5;8,85483871
1/11/1976;198,5;6,403225806
1/12/1976;0;0
1/1/1977;0;0
1/2/1977;0;0
1/3/1977;0;0
1/4/1977;2,5;0,080645161
1/5/1977;137;4,419354839
1/6/1977;105;3,387096774
1/7/1977;24;0,774193548
1/8/1977;250,5;8,080645161
1/9/1977;229;7,387096774
1/10/1977;310,5;10,01612903
1/11/1977;55,5;1,790322581
1/12/1977;4;0,129032258
1/1/1978;0;0
1/2/1978;0;0
1/3/1978;0;0
1/4/1978;6,5;0,209677419
1/5/1978;536;17,29032258
1/6/1978;204,5;6,596774194
1/7/1978;182,5;5,887096774
1/8/1978;295,5;9,532258065
1/9/1978;294,5;9,5
1/10/1978;384;12,38709677
1/11/1978;37;1,193548387
1/12/1978;64,5;2,080645161
1/1/1979;0;0
1/2/1979;0;0
1/3/1979;0;0
1/4/1979;82;2,64516129
1/5/1979;196;6,322580645
1/6/1979;584;18,83870968
1/7/1979;172;5,548387097
1/8/1979;342,5;11,0483871
1/9/1979;606;19,5483871
1/10/1979;360;11,61290323
1/11/1979;68,5;2,209677419
1/12/1979;5;0,161290323
1/1/1980;0;0
1/2/1980;0;0
1/3/1980;1;0,032258065
1/4/1980;15,5;0,5
1/5/1980;103,5;3,338709677
1/6/1980;155,5;5,016129032
1/7/1980;199;6,419354839
1/8/1980;216;6,967741935
1/9/1980;318;10,25806452
1/10/1980;392;12,64516129
1/11/1980;257,5;8,306451613
1/12/1980;0;0
1/1/1981;0;0
1/2/1981;0;0
1/3/1981;1;0,032258065
1/4/1981;26,5;0,85483871
1/5/1981;546;17,61290323
1/6/1981;735,5;23,72580645
1/7/1981;264;8,516129032
1/8/1981;442;14,25806452
1/9/1981;221,5;7,14516129
1/10/1981;488,5;15,75806452
1/11/1981;87,5;2,822580645
1/12/1981;36,5;1,177419355
1/1/1982;8;0,258064516
1/2/1982;0;0
1/3/1982;0;0
1/4/1982;19,5;0,629032258
1/5/1982;729,5;23,53225806
1/6/1982;159,5;5,14516129
1/7/1982;67;2,161290323
1/8/1982;89;2,870967742
1/9/1982;319,5;10,30645161
1/10/1982;129;4,161290323
1/11/1982;30;0,967741935
1/12/1982;0;0
1/1/1983;0;0
1/2/1983;11;0,35483871
1/3/1983;15;0,483870968
1/4/1983;0,7;0,022580645
1/5/1983;2,5;0,080645161
1/6/1983;133,7;4,312903226
1/7/1983;5,7;0,183870968
1/8/1983;173,7;5,603225806
1/9/1983;381,8;12,31612903
1/10/1983;332,6;10,72903226
1/11/1983;634,8;20,47741935
1/12/1983;215,5;6,951612903
1/1/1984;0;0
1/2/1984;0;0
1/3/1984;0;0
1/4/1984;72,5;2,338709677
1/5/1984;92,7;2,990322581
1/6/1984;267,5;8,629032258
1/7/1984;346;11,16129032
1/8/1984;184,9;5,964516129
1/9/1984;655,5;21,14516129
1/10/1984;188,7;6,087096774
1/11/1984;42,5;1,370967742
1/12/1984;2;0,064516129
1/1/1985;0;0
1/2/1985;0;0
